"id","squareMeters","rooms1","rooms2","rooms3","centreDistance","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","ownership","buildingMaterial","condition","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","first_floor","top_floor","age","block","apartmentB","tenement","stolica"
"4f7dcc1807ff206ecd67672336d068cb",48,0,1,0,7210,361,928,600,203,611,2554,394,"1","0","0","0","0","1","0","1",799000,0,0,28,1,0,0,1
"3e54721f579b20656510c8a065971689",35,1,0,0,3910,309,486,189,262,92,448,133,"1","1","0","0","1","0","0","0",600000,0,0,120,0,0,1,1
"870be68a3b412599c6ebd8a97b9cc516",48,0,1,0,3910,309,486,189,262,92,448,133,"1","1","0","0","1","0","0","0",699000,0,0,120,0,0,1,1
"92f4fa8a1611f71b9fabccc06d976c1e",75,0,1,0,4460,78,113,683,370,89,2233,141,"1","1","1","1","1","1","0","0",1450000,0,0,17,0,1,0,1
"0387e693f159c07209ff6c2f46a79f08",75,0,1,0,6370,805,1615,1307,217,293,3239,617,"1","1","1","1","0","1","0","0",1340000,0,0,3,0,1,0,1
"2742ede1f2627bcc7d12ad9b89cb50cd",68,0,1,0,11240,1065,3121,1534,1408,972,2635,1560,"1","1","1","1","0","1","0","0",1480000,0,0,14,0,1,0,1
"0a0c8b4a2f8856e5dd8c3c07c68b2039",64,0,1,0,5920,378,150,174,256,159,1876,157,"0","0","0","0","1","0","0","1",699000,0,0,49,1,0,0,1
"71ebb7eac88f9973b7b8a583623fc75d",64.4,0,1,0,4080,140,786,255,79,177,2340,185,"1","0","0","1","1","1","0","0",899990,0,0,51,1,0,0,1
"d9b14d4d81f5ec66d2c850affa426e3e",56,1,0,0,6040,401,514,175,122,171,531,218,"1","0","1","0","1","1","0","0",820000,1,0,15,0,1,0,1
"4792c36997ed80857b158ce9b2af7067",40,1,0,0,3760,104,24,276,181,177,1309,279,"1","1","1","1","0","1","0","0",996000,1,0,15,0,1,0,1
"8345f85f92bc28071c6b750016053dcd",50,1,0,0,6120,146,377,591,270,401,1730,283,"0","0","0","0","1","1","0","0",700000,0,1,52,1,0,0,1
"31a693893b06edd44551e20377698bb3",28.9,1,0,0,6970,486,513,139,77,133,2617,651,"1","1","1","0","1","1","0","0",750000,0,0,1,0,1,0,1
"a87412c37b6f6fe50c86d1edbabfe8a8",72,0,1,0,7040,472,1196,574,235,163,376,828,"0","0","0","1","1","1","0","1",899000,0,1,46,1,0,0,1
"674d90afdcd6059223c4b6cb47e438e9",71.67,0,1,0,10550,1594,3967,186,1094,168,3894,245,"1","1","1","0","1","1","0","0",1374225,0,0,3,0,1,0,1
"223cb6f6d377d279bbe5476ab2b6f28e",110,0,0,1,11840,215,236,128,297,144,602,129,"0","1","0","0","1","0","0","1",1600000,0,1,26,1,0,0,1
"ed7603103c69d1c6a3c8cd239eb4ff97",86,0,1,0,6420,418,1666,130,218,402,2911,227,"1","1","1","0","0","1","0","0",1200000,0,0,10,0,1,0,1
"414c4f6fa72ba152e753e0de8bede86b",45.53,1,0,0,3610,519,379,173,167,72,895,618,"1","1","1","1","1","1","0","0",1252075,0,0,10,0,1,0,1
"c3e51aa9e64c89ffc76fdae0639706a6",115.5,0,0,1,9810,1954,4037,1080,455,141,4900,987,"1","1","1","0","1","1","1","0",1580000,0,1,18,1,0,0,1
"378f966e1b997c7c6b5db6b2e96c70e2",34,1,0,0,7390,185,713,396,193,217,963,125,"1","1","0","0","0","0","0","1",569000,0,1,68,0,0,1,1
"a5e92d9f36ece04f92f1811f0a0022f1",38.35,1,0,0,3800,273,772,731,474,148,390,600,"1","1","1","0","0","1","0","0",715000,0,1,4,0,1,0,1
"388e0b926f3e467d67f11b2788a1f2ed",62.8,0,1,0,8550,75,488,364,69,57,1221,188,"1","1","1","1","1","1","0","0",1559000,0,0,7,0,1,0,1
"2861fdf44fe260fb3c4ee5d90fb137cc",37.87,1,0,0,3320,598,938,256,338,480,600,752,"1","1","1","1","1","1","0","0",930000,0,0,10,0,1,0,1
"ab7a74838dd61dc3d41859aae8d0ca86",33.8,1,0,0,4140,630,125,286,88,128,166,240,"1","1","0","1","1","1","0","0",775000,0,0,8,1,0,0,1
"8cc5ad64b4ba5d2b6640b1ad2af909ec",79,0,1,0,9480,426,1365,400,438,166,1763,145,"1","1","1","0","1","1","0","0",1500000,0,0,4,0,1,0,1
"2d827673e3927e34fc779c5ac18e43da",55,0,1,0,2860,265,118,367,124,196,366,220,"1","1","1","1","0","1","0","0",1375000,0,0,14,0,1,0,1
"456df5aa34298fd3d6a81c251dc1d4bd",58.3,1,0,0,11480,320,518,320,47,274,1777,321,"1","1","0","0","1","1","0","0",715000,0,0,13,1,0,0,1
"558de4696eb1694ccdeefc93a8040f63",97.86,0,0,1,650,310,373,178,299,33,235,118,"1","1","0","0","0","1","0","1",2000000,0,0,120,0,0,1,1
"baab9f786f5c24d7911bb141ef2e5650",44.86,1,0,0,7930,551,1327,1017,107,97,3937,587,"1","1","1","1","1","1","0","0",826000,0,0,7,0,1,0,1
"f432cb21eb9a0b159373b6804199f866",64,0,1,0,2420,105,567,317,213,77,733,313,"1","1","0","0","0","0","0","0",1060000,0,0,73,0,0,1,1
"c9a3026189e4806eda21438ab61b7d69",64,0,1,0,8530,291,2115,940,200,254,4734,612,"1","1","1","1","0","1","0","0",959000,0,0,1,0,1,0,1
"e0ae3cc9a745f106de0e3a0c2660b52b",106,0,1,0,9860,1579,3770,689,272,213,4451,606,"1","1","1","1","1","1","1","1",2300000,0,1,3,0,1,0,1
"15d44891e9f4dae60747595ca4e95a85",98,0,1,0,11180,334,349,679,331,283,1301,110,"1","1","0","0","0","0","0","1",1260000,0,0,25,1,0,0,1
"d3de21986956998e8836cfe283f5a153",53.39,1,0,0,7500,117,1063,179,245,102,634,221,"1","1","0","1","0","1","0","0",849000,0,0,7,0,1,0,1
"77aef89287e8e0fa362da3ecaf9dea79",42.54,1,0,0,5230,80,2149,1421,290,422,2010,782,"1","1","1","1","0","1","0","0",869900,0,1,7,0,1,0,1
"5dc297dd14a6f71a9ec51fc88fa3e526",80,0,1,0,10530,232,3586,540,247,545,4539,416,"1","1","1","1","1","1","0","0",1100000,1,0,7,0,1,0,1
"e07251eb283b9dd5d31f05cb8b586482",91,0,1,0,5750,246,67,405,468,199,1939,72,"1","1","1","1","0","1","0","0",1599000,0,0,19,0,1,0,1
"4a18de16fd6fddaf4727c704c83de636",28,1,0,0,2780,188,475,510,305,273,1075,188,"1","1","1","0","0","0","0","1",520000,0,1,89,1,0,0,1
"4acd586cad654faaff4ff58a83ba3137",43.5,0,1,0,4550,182,490,471,175,186,668,95,"1","1","1","0","0","0","0","1",559000,0,1,88,0,0,1,1
"a29cc8a440a9bf7c460f6764c516ef67",56,1,0,0,4940,571,1649,930,25,15,2219,293,"1","1","1","1","0","1","0","0",970000,1,0,23,1,0,0,1
"db0a4ef2d13ed1dffc4a408fc0e488d8",50,1,0,0,5960,321,249,572,107,459,1527,265,"0","0","1","0","0","1","0","0",680000,0,1,34,1,0,0,1
